iter	Passed	Remaining
416	2966	2724
417	2972	2716
418	2979	2709
419	2985	2701
420	2993	2694
421	3000	2687
422	3006	2679
423	3014	2672
424	3021	2666
425	3028	2658
426	3035	2651
427	3042	2644
428	3051	2639
429	3058	2631
430	3065	2624
431	3072	2617
432	3078	2609
433	3084	2601
434	3092	2594
435	3099	2587
436	3105	2579
437	3112	2572
438	3119	2564
439	3127	2558
440	3133	2551
441	3141	2544
442	3149	2538
443	3157	2531
444	3163	2523
445	3171	2517
446	3178	2509
447	3185	2503
448	3192	2495
449	3199	2488
450	3206	2481
451	3212	2473
452	3220	2466
453	3227	2459
454	3234	2452
455	3241	2445
456	3249	2438
457	3256	2431
458	3264	2425
459	3271	2418
460	3279	2411
461	3286	2404
462	3293	2397
463	3300	2390
464	3308	2383
465	3315	2376
466	3321	2368
467	3327	2360
468	3334	2353
469	3341	2346
470	3348	2339
471	3355	2332
472	3363	2325
473	3370	2318
474	3378	2311
475	3385	2304
476	3391	2296
477	3398	2289
478	3404	2281
479	3410	2273
480	3417	2266
481	3423	2258
482	3432	2252
483	3439	2245
484	3447	2239
485	3454	2232
486	3462	2225
487	3469	2217
488	3475	2210
489	3483	2203
490	3489	2196
491	3495	2188
492	3502	2180
493	3509	2173
494	3516	2166
495	3523	2159
496	3531	2152
497	3537	2145
498	3543	2137
499	3550	2130
500	3558	2123
501	3565	2116
502	3572	2109
503	3579	2102
504	3586	2095
505	3592	2087
506	3599	2080
507	3605	2072
508	3612	2065
509	3618	2057
510	3625	2050
511	3633	2043
512	3639	2036
513	3646	2029
514	3653	2022
515	3660	2014
516	3667	2007
517	3676	2001
518	3683	1994
519	3690	1987
520	3697	1979
521	3704	1972
522	3711	1965
523	3719	1959
524	3726	1951
525	3733	1944
526	3739	1937
527	3746	1930
528	3753	1923
529	3759	1915
530	3766	1908
531	3773	1900
532	3781	1894
533	3789	1887
534	3796	1880
535	3805	1874
536	3813	1867
537	3819	1860
538	3827	1853
539	3833	1845
540	3841	1838
541	3848	1831
542	3854	1824
543	3861	1817
544	3867	1809
545	3874	1802
546	3880	1794
547	3887	1787
548	3893	1780
549	3899	1772
550	3905	1764
551	3911	1757
552	3918	1750
553	3926	1743
554	3933	1736
555	3939	1728
556	3946	1721
557	3953	1714
558	3960	1707
559	3966	1700
560	3972	1692
561	3978	1684
562	3985	1677
563	3991	1670
564	3999	1663
565	4006	1656
566	4013	1649
567	4021	1642
568	4028	1635
569	4036	1628
570	4045	1622
571	4051	1615
572	4058	1607
573	4066	1601
574	4072	1593
575	4080	1586
576	4087	1579
577	4093	1572
578	4100	1565
579	4107	1557
580	4114	1550
581	4121	1543
582	4128	1536
583	4135	1529
584	4142	1522
585	4149	1515
586	4156	1508
587	4163	1501
588	4171	1494
589	4178	1487
590	4184	1479
591	4191	1472
592	4198	1465
593	4204	1458
594	4211	1451
595	4220	1444
596	4227	1437
597	4235	1430
598	4242	1423
599	4249	1416
600	4256	1409
601	4263	1402
602	4270	1395
603	4277	1388
604	4283	1380
605	4291	1373
606	4298	1366
607	4305	1359
608	4312	1352
609	4318	1345
610	4325	1337
611	4333	1331
612	4341	1324
613	4349	1317
614	4356	1310
615	4365	1303
616	4371	1296
617	4377	1289
618	4386	1282
619	4393	1275
620	4400	1268
621	4407	1261
622	4415	1254
623	4422	1247
624	4429	1240
625	4436	1233
626	4444	1226
627	4451	1219
628	4458	1212
629	4466	1205
630	4473	1198
631	4480	1190
632	4487	1184
633	4496	1177
634	4503	1170
635	4510	1163
636	4516	1155
637	4523	1148
638	4529	1141
639	4537	1134
640	4545	1127
641	4553	1120
642	4560	1113
643	4568	1106
644	4575	1099
645	4582	1092
646	4589	1085
647	4595	1077
648	4601	1070
649	4609	1063
650	4615	1056
651	4622	1049
652	4629	1042
653	4635	1034
654	4642	1027
655	4651	1020
656	4657	1013
657	4664	1006
658	4671	999
659	4678	992
660	4684	985
661	4691	978
662	4698	970
663	4705	963
664	4712	956
665	4718	949
666	4724	942
667	4731	934
668	4737	927
669	4744	920
670	4751	913
671	4758	906
672	4765	899
673	4771	892
674	4779	885
675	4786	877
676	4793	870
677	4800	863
678	4806	856
679	4814	849
680	4821	842
681	4828	835
682	4836	828
683	4843	821
684	4850	814
685	4856	807
686	4863	799
687	4870	792
688	4877	785
689	4885	778
690	4893	771
691	4901	764
692	4908	757
693	4914	750
694	4923	743
695	4930	736
696	4938	729
697	4944	722
698	4951	715
699	4958	708
700	4964	701
701	4972	694
702	4979	687
703	4986	679
704	4993	672
705	5000	665
706	5007	658
707	5014	651
708	5022	644
709	5030	637
710	5037	630
711	5044	623
712	5050	616
713	5057	609
714	5063	602
715	5070	594
716	5078	587
717	5085	580
718	5091	573
719	5098	566
720	5106	559
721	5113	552
722	5120	545
723	5128	538
724	5136	531
725	5142	524
726	5148	516
727	5155	509
728	5162	502
729	5169	495
730	5175	488
731	5181	481
732	5188	474
733	5194	467
734	5201	459
735	5208	452
736	5214	445
737	5222	438
738	5229	431
739	5237	424
740	5244	417
741	5251	410
742	5258	403
743	5265	396
744	5273	389
745	5280	382
746	5288	375
747	5295	368
748	5302	361
749	5309	353
750	5315	346
751	5322	339
752	5329	332
753	5336	325
754	5342	318
755	5348	311
756	5355	304
757	5362	297
758	5368	290
759	5376	282
760	5384	275
761	5392	268
762	5400	261
763	5406	254
764	5414	247
765	5421	240
766	5427	233
767	5434	226
768	5441	219
769	5448	212
770	5455	205
771	5463	198
772	5470	191
773	5477	184
774	5484	176
775	5491	169
776	5497	162
777	5506	155
778	5512	148
779	5518	141
780	5526	134
781	5534	127
782	5542	120
783	5549	113
784	5556	106
785	5564	99
786	5571	92
787	5578	84
788	5584	77
789	5591	70
790	5597	63
791	5604	56
792	5612	49
793	5620	42
794	5627	35
795	5634	28
796	5641	21
797	5647	14
798	5654	7
799	5661	0
