iter	MAE
0	13199.92831
1	12909.57871
2	12648.18999
3	12392.86304
4	12188.62001
5	11977.41521
6	11746.4163
7	11539.41489
8	11373.15795
9	11182.76941
10	11035.4317
11	10872.71112
12	10755.14253
13	10619.86417
14	10462.24888
15	10330.4118
16	10229.07365
17	10109.51618
18	9990.902989
19	9891.076231
20	9778.384293
21	9663.102777
22	9577.659038
23	9480.439273
24	9416.969253
25	9328.250888
26	9266.945435
27	9208.594454
28	9133.881759
29	9102.596009
30	9048.391757
31	9003.060708
32	8955.479459
33	8910.301304
34	8853.023838
35	8809.724791
36	8774.878861
37	8737.602553
38	8695.726012
39	8670.459498
40	8642.867876
41	8601.294937
42	8563.031586
43	8514.856788
44	8496.706278
45	8459.134841
46	8425.191206
47	8398.481723
48	8373.837283
49	8344.015039
50	8322.407522
51	8297.952258
52	8265.523677
53	8239.031119
54	8222.786225
55	8198.434523
56	8189.039319
57	8156.657855
58	8114.755801
59	8095.679583
60	8080.293846
61	8060.495331
62	8037.418544
63	8019.092613
64	7996.223425
65	7988.244263
66	7971.994202
67	7951.60508
68	7923.90335
69	7904.682609
70	7886.260411
71	7868.359653
72	7857.020052
73	7848.030967
74	7831.502587
75	7812.643711
76	7799.141978
77	7785.702513
78	7771.18103
79	7761.426209
80	7757.161638
81	7729.930905
82	7715.397407
83	7704.221095
84	7691.102458
85	7679.687615
86	7669.392821
87	7652.262598
88	7648.959084
89	7639.192388
90	7630.006159
91	7610.284081
92	7588.89775
93	7588.12815
94	7575.356628
95	7570.172128
96	7563.864047
97	7555.075972
98	7544.975978
99	7530.550315
100	7517.565254
101	7511.495801
102	7504.864188
103	7497.195103
104	7482.460345
105	7462.861996
106	7450.935066
107	7444.352716
108	7433.314938
109	7430.029336
110	7413.505239
111	7408.335043
112	7387.977904
113	7378.161411
114	7370.123086
115	7367.161075
116	7363.399586
117	7349.3977
118	7339.623055
119	7329.116399
120	7324.790816
121	7320.487696
122	7310.38546
123	7308.09781
124	7302.163423
125	7291.356971
126	7282.279952
127	7276.319921
128	7269.694909
129	7266.025072
130	7264.471827
131	7253.893434
132	7239.874603
133	7234.127108
134	7230.03602
135	7218.17147
136	7211.276978
137	7201.970047
138	7195.626097
139	7191.378072
140	7188.811707
141	7181.522409
142	7175.393035
143	7166.208553
144	7165.181579
145	7154.91754
146	7152.88989
147	7149.559148
148	7145.309151
149	7143.83552
150	7138.941803
151	7132.274723
152	7129.874409
153	7122.491102
154	7117.949896
155	7108.065924
156	7105.3498
157	7097.382909
158	7091.580578
159	7085.114554
160	7075.994433
161	7072.206559
162	7068.534321
163	7064.491338
164	7059.470461
165	7051.880944
166	7042.224455
167	7034.689447
168	7028.632245
169	7018.730039
170	7012.256131
171	6999.660389
172	6992.752463
173	6980.346962
174	6976.569969
175	6973.396025
176	6968.553339
177	6962.803576
178	6952.393743
179	6943.920374
180	6935.800468
181	6934.500609
182	6922.095741
183	6919.350436
184	6913.124656
185	6907.021178
186	6898.753839
187	6885.769067
188	6881.397248
189	6876.038185
190	6867.578386
191	6858.468175
192	6855.063153
193	6850.872571
194	6843.769312
195	6838.74693
196	6828.504521
197	6821.855201
198	6818.23346
199	6807.904032
200	6800.53157
201	6798.392761
202	6793.96357
203	6785.979625
204	6779.768155
205	6774.753172
206	6764.795178
207	6763.200272
208	6752.855651
209	6749.936409
210	6744.523168
211	6737.811881
212	6735.279348
213	6729.719005
214	6724.041089
215	6720.180411
216	6714.008336
217	6711.098674
218	6708.07998
219	6695.206317
220	6692.575713
221	6686.207697
222	6683.457424
223	6680.626937
224	6669.814074
225	6665.383646
226	6662.631399
227	6658.964701
228	6657.083459
229	6652.89345
230	6649.280866
231	6646.357417
232	6642.909982
233	6636.660821
234	6631.704156
235	6629.082291
236	6620.379706
237	6615.838833
238	6610.035164
239	6601.488227
240	6594.659492
241	6582.116506
242	6573.386903
243	6569.097694
244	6566.170913
245	6557.624745
246	6553.525565
247	6550.711207
248	6544.586283
249	6538.524533
250	6532.300596
251	6529.49667
252	6524.569191
253	6519.634464
254	6514.289761
255	6504.362371
256	6501.575543
257	6496.424163
258	6490.051672
259	6483.804284
260	6479.82072
261	6474.42621
262	6467.396704
263	6459.904882
264	6458.499817
265	6451.117446
266	6444.822123
267	6441.156186
268	6437.498564
269	6433.638948
270	6432.547569
271	6425.432393
272	6421.54837
273	6412.790359
274	6408.975503
275	6401.281872
276	6398.555488
277	6395.832079
278	6392.156524
279	6384.978659
280	6382.99984
281	6379.786407
282	6376.983978
283	6373.760349
284	6370.773049
285	6369.908486
286	6361.794511
287	6357.546647
288	6356.365725
289	6355.992008
290	6351.939596
291	6347.508872
292	6345.789301
293	6341.973743
294	6339.827099
295	6330.663963
296	6326.435377
297	6325.510325
298	6321.029948
299	6317.754502
300	6309.431046
301	6308.498119
302	6303.818217
303	6296.797278
304	6295.400114
305	6286.859773
306	6281.333214
307	6275.537168
308	6271.46793
309	6264.173283
310	6260.933211
311	6254.309724
312	6252.233218
313	6249.087964
314	6244.91589
315	6238.0764
316	6234.122151
317	6227.329942
318	6224.279748
319	6218.402945
320	6214.964766
321	6212.420876
322	6211.528289
323	6207.191755
324	6205.337032
325	6202.045673
326	6198.559718
327	6194.466194
328	6193.332392
329	6189.143584
330	6184.758377
331	6180.934443
332	6178.417488
333	6175.860516
334	6172.49762
335	6170.366436
336	6167.912179
337	6166.276949
338	6165.516071
339	6163.558924
340	6161.644526
341	6160.786196
342	6159.060835
343	6156.911542
344	6153.823123
345	6150.05221
346	6149.488782
347	6147.888197
348	6146.241522
349	6145.442376
350	6143.431327
351	6140.178378
352	6137.570608
353	6136.086144
354	6131.644643
355	6127.223354
356	6125.992913
357	6124.03656
358	6123.111405
359	6121.289529
360	6119.879968
361	6118.929218
362	6117.820025
363	6113.328706
364	6110.456779
365	6105.073642
366	6101.7024
367	6098.622376
368	6096.728553
369	6093.922943
370	6091.694985
371	6085.369319
372	6083.115927
373	6080.032046
374	6077.929181
375	6076.773158
376	6075.879368
377	6070.367397
378	6068.330342
379	6067.404964
380	6066.603277
381	6065.865
382	6063.652914
383	6062.899181
