iter	MAE
384	6060.072836
385	6058.619663
386	6057.804792
387	6055.647777
388	6055.165347
389	6050.300746
390	6046.682003
391	6043.766623
392	6041.616973
393	6038.106891
394	6036.995889
395	6035.699929
396	6034.66558
397	6034.428468
398	6032.012419
399	6028.531307
400	6027.291132
401	6024.855745
402	6024.455402
403	6022.948785
404	6021.51688
405	6019.878534
406	6018.445614
407	6017.802404
408	6015.163805
409	6014.423326
410	6013.79188
411	6007.953058
412	6007.442562
413	6005.12499
414	5999.850663
415	5999.061736
416	5993.59875
417	5993.363451
418	5990.271398
419	5988.772464
420	5986.019805
421	5984.985662
422	5980.1137
423	5979.115473
424	5977.237782
425	5975.373008
426	5974.116703
427	5971.51315
428	5970.444139
429	5967.096226
430	5966.096387
431	5965.289171
432	5879.12806
433	5877.84895
434	5876.599936
435	5875.660353
436	5875.435862
437	5874.823113
438	5872.567879
439	5872.23612
440	5871.681319
441	5868.998371
442	5867.876168
443	5862.708383
444	5861.770007
445	5860.588169
446	5857.715818
447	5857.05721
448	5856.093111
449	5854.04825
450	5852.139071
451	5850.792184
452	5849.740917
453	5847.982762
454	5843.874899
455	5842.969857
456	5841.141784
457	5839.940634
458	5831.931675
459	5829.823319
460	5829.097283
461	5828.691019
462	5827.745642
463	5825.513165
464	5824.234
465	5822.039659
466	5820.521757
467	5818.924721
468	5817.715952
469	5736.021773
470	5735.513498
471	5732.022487
472	5729.604804
473	5727.364352
474	5726.386128
475	5725.040369
476	5724.008608
477	5723.129959
478	5719.595883
479	5718.643567
480	5716.65187
481	5713.776449
482	5712.960559
483	5712.718514
484	5711.471676
485	5708.855823
486	5708.079198
487	5707.681604
488	5707.299381
489	5706.2173
490	5701.981809
491	5700.135306
492	5698.613718
493	5695.701477
494	5694.989536
495	5694.096653
496	5693.828397
497	5692.571234
498	5690.74983
499	5689.226101
500	5688.960275
501	5688.214564
502	5687.056002
503	5685.674502
504	5683.821643
505	5681.895357
506	5681.343024
507	5678.670556
508	5677.981303
509	5676.906589
510	5675.213208
511	5674.959387
512	5674.659124
513	5672.825181
514	5670.49454
515	5668.838655
516	5667.056382
517	5666.398248
518	5663.80313
519	5661.284329
520	5660.960209
521	5660.818441
522	5659.233586
523	5657.911586
524	5657.502748
525	5657.199259
526	5656.266143
527	5655.53137
528	5653.178724
529	5652.417419
530	5651.409144
531	5650.879951
532	5650.44697
533	5649.316058
534	5648.366913
535	5645.114677
536	5643.265291
537	5641.898172
538	5639.92064
539	5638.793227
540	5636.66727
541	5635.877153
542	5634.368915
543	5634.209782
544	5632.315993
545	5630.582737
546	5629.875131
547	5629.210584
548	5628.437912
549	5626.198947
550	5624.784522
551	5622.323017
552	5621.785054
553	5621.394318
554	5619.070551
555	5618.634188
556	5618.194987
557	5617.740459
558	5615.73152
559	5614.779763
560	5614.092477
561	5612.861706
562	5612.100368
563	5610.568055
564	5609.667035
565	5607.456886
566	5606.410313
567	5605.631836
568	5604.43744
569	5603.949309
570	5603.67564
571	5602.504118
572	5601.870797
573	5601.57891
574	5600.762521
575	5600.35981
576	5596.775123
577	5596.46577
578	5595.212437
579	5594.439972
580	5593.818139
581	5591.843126
582	5591.637921
583	5591.521376
584	5588.637152
585	5587.495543
586	5586.412092
587	5583.665972
588	5581.178408
589	5574.670354
590	5574.223655
591	5573.007701
592	5567.024641
593	5566.613831
594	5566.381756
595	5562.888956
596	5562.441518
597	5559.683837
598	5559.182357
599	5557.390674
600	5556.543248
601	5553.156624
602	5550.741792
603	5549.506706
604	5546.767402
605	5545.572194
606	5544.055128
607	5542.124362
608	5538.054271
609	5537.65508
610	5531.798039
611	5531.205441
612	5530.242457
613	5529.303087
614	5525.971525
615	5523.85371
616	5521.850158
617	5519.874457
618	5516.851947
619	5515.475119
620	5514.373291
621	5512.454649
622	5511.657291
623	5503.205214
624	5501.129578
625	5499.226709
626	5497.089229
627	5496.036702
628	5494.199753
629	5493.381312
630	5489.756704
631	5488.476237
632	5487.992877
633	5487.64182
634	5486.962116
635	5485.792673
636	5485.033821
637	5484.411234
638	5483.625098
639	5482.420015
640	5481.383855
641	5479.489449
642	5476.671134
643	5476.209672
644	5475.164433
645	5472.994403
646	5471.765819
647	5468.732041
648	5467.28429
649	5466.462924
650	5466.102198
651	5465.222239
652	5386.836626
653	5383.718381
654	5381.512212
655	5378.441933
656	5377.688498
657	5377.044501
658	5374.554251
659	5371.205504
660	5370.370537
661	5369.287316
662	5369.115862
663	5367.109204
664	5366.222943
665	5365.733341
666	5365.099276
667	5364.960485
668	5364.478615
669	5364.013803
670	5360.957992
671	5360.277464
672	5358.583155
673	5358.257732
674	5356.312995
675	5355.197603
676	5354.675614
677	5353.651232
678	5353.054144
679	5352.578724
680	5351.606777
681	5351.127802
682	5350.528696
683	5348.725885
684	5346.964881
685	5345.766214
686	5345.629587
687	5345.211995
688	5344.559185
689	5343.862265
690	5343.304187
691	5341.560471
692	5337.342648
693	5336.925884
694	5335.975263
695	5335.067935
696	5334.327076
697	5333.015534
698	5332.567744
699	5332.079976
700	5331.299885
701	5328.173385
702	5327.988508
703	5327.128457
704	5326.510753
705	5326.06309
706	5324.723275
707	5324.293966
708	5323.144918
709	5322.863524
710	5322.09048
711	5321.213151
712	5319.250913
713	5317.758078
714	5317.293067
715	5317.023475
716	5316.341132
717	5315.409901
718	5314.722894
719	5314.08618
720	5313.249322
721	5310.806849
722	5310.00245
723	5309.249621
724	5305.929504
725	5305.405666
726	5305.101062
727	5303.736717
728	5303.526951
729	5302.693345
730	5301.730862
731	5300.79349
732	5298.306604
733	5297.936161
734	5296.485796
735	5296.151931
736	5295.415947
737	5291.51376
738	5290.751041
739	5289.405739
740	5288.039001
741	5286.506615
742	5285.331275
743	5284.094866
744	5283.754002
745	5283.453506
746	5282.667401
747	5281.894324
748	5280.236168
749	5279.174162
750	5276.797777
751	5275.976148
752	5275.624532
753	5275.206579
754	5274.812584
755	5274.605538
756	5274.409396
757	5273.515071
758	5270.786973
759	5268.900671
760	5267.689577
761	5266.909387
762	5266.410731
763	5265.941708
764	5263.369382
765	5262.727129
766	5262.454453
767	5261.870597
768	5260.287934
769	5259.39802
770	5259.154006
771	5258.650592
772	5257.879151
773	5256.522042
774	5256.043858
775	5255.521138
776	5253.905308
777	5253.518108
778	5253.129066
779	5253.048447
780	5252.271506
781	5251.616667
782	5251.317152
783	5250.996352
784	5249.895786
785	5248.015665
786	5246.2533
787	5246.132913
788	5245.439243
789	5245.039824
790	5244.704064
791	5244.621415
792	5242.504979
793	5241.958226
794	5241.553292
795	5241.218991
796	5240.605641
797	5238.957173
798	5238.70283
799	5238.21449
